Country,Happiness Low Tolerance,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Year
Peru,5.87015,0.90019,0.97459,0.73017,0.41496,0.05989,0.14982,2.5945,2015
Belarus,5.85238,1.03192,1.23289,0.73608,0.37938,0.1909,0.11046,2.1309,2015
Poland,5.83363,1.12555,1.27948,0.77903,0.53122,0.04212,0.16759,1.86565,2015
Malaysia,5.8133,1.12486,1.07023,0.72394,0.53024,0.10501,0.33075,1.88541,2015
Croatia,5.80294,1.08254,0.79624,0.78805,0.25883,0.0243,0.05444,2.75414,2015
Libya,5.83232,1.13145,1.11862,0.7038,0.41668,0.11023,0.18295,2.09066,2015
Russia,5.74735,1.13764,1.23617,0.66926,0.36679,0.03005,0.00199,2.27394,2015
Jamaica,5.84593,0.81038,1.15102,0.68741,0.50442,0.02299,0.2123,2.32038,2015
North Cyprus,5.75135,1.20806,1.07008,0.92356,0.49027,0.1428,0.26169,1.59888,2015
Cyprus,5.7448,1.20813,0.89318,0.92356,0.40672,0.06146,0.30638,1.88931,2015
Algeria,5.65599,0.93929,1.07772,0.61766,0.28579,0.17383,0.07822,2.43209,2015
Kosovo,5.63918,0.80148,0.81198,0.63132,0.24749,0.04741,0.2831,2.76579,2015
Turkmenistan,5.58975,0.95847,1.22668,0.53886,0.4761,0.30844,0.16979,1.86984,2015
Mauritius,5.54897,1.00761,0.98521,0.7095,0.56066,0.07521,0.37744,1.76145,2015
Hong Kong,5.52451,1.38604,1.05818,1.01328,0.59608,0.37124,0.39478,0.65429,2015
Estonia,5.46913,1.15174,1.22791,0.77361,0.44888,0.15184,0.0868,1.58782,2015
Indonesia,5.42496,0.82827,1.08708,0.63793,0.46611,0,0.51535,1.86399,2015
Vietnam,5.39107,0.63216,0.91226,0.74676,0.59444,0.10441,0.1686,2.20173,2015
Turkey,5.37064,1.06098,0.94632,0.73172,0.22815,0.15746,0.12253,2.08528,2015
Kyrgyzstan,5.32423,0.47428,1.15115,0.65088,0.43477,0.04232,0.3003,2.2327,2015
Nigeria,5.30992,0.65435,0.90432,0.16007,0.34334,0.0403,0.27233,2.89319,2015
Bhutan,5.28525,0.77042,1.10395,0.57407,0.53206,0.15445,0.47998,1.63794,2015
Azerbaijan,5.24563,1.02389,0.93793,0.64045,0.3703,0.16065,0.07799,2.00073,2015
Pakistan,5.23126,0.59543,0.41411,0.51466,0.12102,0.10464,0.33671,3.10709,2015
Jordan,5.23724,0.90198,1.05392,0.69639,0.40661,0.14293,0.11053,1.87996,2015
Montenegro,5.24435,0.97438,0.90557,0.72521,0.1826,0.14296,0.1614,2.10017,2015
China,5.16424,0.89012,0.94675,0.81658,0.51697,0.02781,0.08185,1.8604,2015
Zambia,5.19888,0.47038,0.91612,0.29924,0.48827,0.12468,0.19591,2.6343,2015
Romania,5.19007,1.04345,0.88588,0.7689,0.35068,0.00649,0.13748,1.93129,2015
Serbia,5.17164,0.92053,1.00964,0.74836,0.20107,0.02617,0.19231,2.025,2015
Portugal,5.15002,1.15991,1.13935,0.87519,0.51469,0.01078,0.13719,1.26462,2015
Latvia,5.1444,1.11312,1.09562,0.72437,0.29671,0.06332,0.18226,1.62215,2015
Philippines,5.12234,0.70532,1.03516,0.58114,0.62545,0.12279,0.24991,1.7536,2015
Somaliland region,5.11861,0.18847,0.95152,0.43873,0.46582,0.39928,0.50318,2.11032,2015
Morocco,5.0472,0.73479,0.64095,0.60954,0.41691,0.08546,0.07172,2.45373,2015
Macedonia,5.06076,0.91851,1.00232,0.73545,0.33457,0.05327,0.22359,1.73933,2015
Mozambique,5.04996,0.08308,1.02626,0.09131,0.34037,0.15603,0.22269,3.05137,2015
Albania,5.00913,0.87867,0.80434,0.81325,0.35733,0.06413,0.14272,1.89894,2015
Bosnia and Herzegovina,5.01813,0.83223,0.91916,0.79081,0.09245,0.00227,0.24808,2.06367,2015
Lesotho,4.99238,0.37545,1.04103,0.07612,0.31767,0.12504,0.16388,2.79832,2015
Dominican Republic,4.95946,0.89537,1.17202,0.66825,0.57672,0.14234,0.21684,1.21305,2015
Laos,4.94298,0.59066,0.73803,0.54909,0.59591,0.24249,0.42192,1.73799,2015
Mongolia,4.90713,0.82819,1.3006,0.60268,0.43626,0.02666,0.3323,1.34759,2015
Swaziland,4.95442,0.71206,1.07284,0.07566,0.30658,0.0306,0.18259,2.48676,2015
Greece,4.90762,1.15406,0.92933,0.88213,0.07699,0.01397,0,1.80101,2015
Lebanon,4.88237,1.02564,0.80001,0.83947,0.33916,0.04582,0.21854,1.57059,2015
Hungary,4.86107,1.12094,1.20215,0.75905,0.32112,0.02758,0.128,1.24074,2015
Honduras,4.84448,0.59532,0.95348,0.6951,0.40148,0.06825,0.23027,1.84408,2015
Tajikistan,4.81798,0.39047,0.85563,0.57379,0.47216,0.15072,0.22974,2.11399,2015
Tunisia,4.77489,0.88113,0.60429,0.73793,0.26268,0.06358,0.06431,2.12466,2015
Palestinian Territories,4.75894,0.59867,0.92558,0.66015,0.24499,0.12905,0.11251,2.04384,2015
Bangladesh,4.72477,0.39753,0.43106,0.60164,0.4082,0.12569,0.21222,2.51767,2015
Iran,4.73049,1.0088,0.54447,0.69805,0.30033,0.05863,0.38086,1.6944,2015
Ukraine,4.72512,0.79907,1.20278,0.6739,0.25123,0.02961,0.15275,1.5714,2015
Iraq,4.72932,0.98549,0.81889,0.60237,0,0.13788,0.17922,1.95335,2015
South Africa,4.68785,0.92049,1.18468,0.27688,0.33207,0.08884,0.11973,1.71956,2015
Ghana,4.68042,0.54558,0.67954,0.40132,0.42342,0.04355,0.23087,2.30919,2015
Zimbabwe,4.6529,0.271,1.03276,0.33475,0.25861,0.08079,0.18987,2.44191,2015
Liberia,4.68168,0.0712,0.78968,0.34201,0.28531,0.06232,0.24362,2.77729,2015
India,4.58543,0.64499,0.38174,0.51529,0.39786,0.08492,0.26475,2.27513,2015
Sudan,4.6174,0.52107,1.01404,0.36878,0.10081,0.1466,0.19062,2.20857,2015
Haiti,4.59131,0.26673,0.74302,0.38847,0.24425,0.17175,0.46187,2.24173,2015
Congo (Kinshasa),4.5538,0,1.0012,0.09806,0.22605,0.07625,0.24834,2.86712,2015
Nepal,4.55007,0.35997,0.86449,0.56874,0.38282,0.05907,0.32296,1.95637,2015
Ethiopia,4.5498,0.19073,0.60406,0.44055,0.4345,0.15048,0.24325,2.44876,2015
Sierra Leone,4.57768,0.33024,0.95571,0,0.4084,0.08786,0.21488,2.51009,2015
Mauritania,4.47547,0.45407,0.86908,0.35874,0.24232,0.17461,0.219,2.11773,2015
Kenya,4.46634,0.36471,0.99876,0.41435,0.42215,0.05839,0.37542,1.78555,2015
Djibouti,4.44996,0.44025,0.59207,0.36291,0.46074,0.28105,0.18093,2.05125,2015
Armenia,4.39763,0.76821,0.77711,0.7299,0.19847,0.039,0.07855,1.75873,2015
Botswana,4.38134,0.99355,1.10464,0.04776,0.49495,0.12474,0.10461,1.46181,2015
Myanmar,4.35051,0.27108,0.70905,0.48246,0.44017,0.19034,0.79588,1.41805,2015
Georgia,4.33921,0.7419,0.38562,0.72926,0.40577,0.38331,0.05547,1.59541,2015
Malawi,4.3533,0.01604,0.41134,0.22562,0.43054,0.06977,0.33128,2.80791,2015
Sri Lanka,4.30851,0.83524,1.01905,0.70806,0.53726,0.09179,0.40828,0.67108,2015
Cameroon,4.29878,0.4225,0.88767,0.23402,0.49309,0.05786,0.20618,1.95071,2015
Bulgaria,4.26628,1.01216,1.10614,0.76649,0.30587,0.00872,0.11921,0.89991,2015
Egypt,4.2266,0.8818,0.747,0.61712,0.17288,0.06324,0.11291,1.59927,2015
Yemen,4.12067,0.54649,0.68093,0.40064,0.35571,0.07854,0.09131,1.92313,2015
Angola,4.08058,0.75778,0.8604,0.16683,0.10384,0.07122,0.12344,1.94939,2015
Mali,4.05102,0.26074,1.03526,0.20583,0.38857,0.12352,0.18798,1.79293,2015
Congo (Brazzaville),4.05582,0.67866,0.6629,0.31051,0.41466,0.11686,0.12388,1.68135,2015
Comoros,4.00397,0.23906,0.79273,0.36315,0.22917,0.199,0.17441,1.95812,2015
Uganda,3.97417,0.21102,1.13299,0.33861,0.45727,0.07267,0.29066,1.42766,2015
Senegal,3.94008,0.36498,0.97619,0.4354,0.36772,0.10713,0.20843,1.44395,2015
Gabon,3.94147,1.06024,0.90528,0.43372,0.31914,0.11091,0.06822,0.99895,2015
Niger,3.88102,0.0694,0.77265,0.29707,0.47692,0.15639,0.19387,1.87877,2015
Cambodia,3.86969,0.46038,0.62736,0.61114,0.66246,0.07247,0.40359,0.98195,2015
Tanzania,3.83161,0.2852,1.00268,0.38215,0.32878,0.05747,0.34377,1.38079,2015
Madagascar,3.71733,0.20824,0.66801,0.46721,0.19184,0.08124,0.21333,1.851,2015
Central African Republic,3.73912,0.0785,0,0.06699,0.48879,0.08289,0.23835,2.7223,2015
Chad,3.7053,0.34193,0.76062,0.1501,0.23501,0.05269,0.18386,1.94296,2015
Guinea,3.6919,0.17417,0.46475,0.24009,0.37725,0.12139,0.28657,1.99172,2015
Ivory Coast,3.70641,0.46534,0.77115,0.15185,0.46866,0.17922,0.20165,1.41723,2015
Burkina Faso,3.63024,0.25812,0.85188,0.27125,0.39493,0.12832,0.21747,1.46494,2015
Afghanistan,3.60584,0.31982,0.30285,0.30335,0.23414,0.09719,0.3651,1.9521,2015
Rwanda,3.49964,0.22208,0.7737,0.42864,0.59201,0.55191,0.22628,0.67042,2015
Benin,3.37656,0.28665,0.35386,0.3191,0.4845,0.0801,0.1826,1.63328,2015
Syria,3.05615,0.6632,0.47489,0.72193,0.15684,0.18906,0.47179,0.32858,2015
Burundi,2.99158,0.0153,0.41587,0.22396,0.1185,0.10062,0.19727,1.83302,2015
Togo,2.90627,0.20868,0.13995,0.28443,0.36453,0.10731,0.16681,1.56726,2015
Norway,7.479555538,1.616463184,1.53352356,0.796666503,0.6354225874,0.3159638345,0.3620122373,2.277026653,2017
Denmark,7.462271607,1.482383013,1.551121593,0.7925655246,0.6260067225,0.4007700682,0.3552804887,2.313707352,2017
Iceland,7.385969901,1.48063302,1.610574007,0.8335521221,0.6271626353,0.1535265595,0.4755402207,2.322715282,2017
Switzerland,7.426227496,1.564979553,1.516911745,0.8581312895,0.6200705767,0.3670072854,0.2905492783,2.276716232,2017
Finland,7.41045765,1.443571925,1.540246725,0.8091576695,0.6179508567,0.3826115429,0.2454827726,2.430181503,2017
Netherlands,7.326573869,1.503944635,1.428939223,0.810696125,0.5853844881,0.2826618254,0.4704898298,2.294804096,2017
Canada,7.247597134,1.479204416,1.481348991,0.8345576525,0.6111009121,0.2873715162,0.4355397224,2.187264442,2017
New Zealand,7.248489818,1.405706048,1.548195124,0.8167597055,0.6140621305,0.3828167021,0.500005126,2.046456337,2017
Sweden,7.223904962,1.494387269,1.478162169,0.8308751583,0.612924099,0.3843987286,0.3853992522,2.097537994,2017
Australia,7.211348615,1.484414935,1.510041952,0.8438867927,0.6016073823,0.3011837304,0.47769925,2.065210819,2017
Israel,7.146146385,1.375382423,1.376289964,0.8384039998,0.4059886038,0.08524210006,0.330082655,2.801757336,2017
Costa Rica,6.989888326,1.109706283,1.416403651,0.7595092654,0.58013165,0.1001065895,0.214613229,2.898639202,2017
Austria,6.941330272,1.487097263,1.459944963,0.8153284192,0.5677661896,0.2210603654,0.3164723217,2.138506413,2017
United States,6.911343313,1.546259284,1.419920564,0.7742866278,0.5057405233,0.1356387883,0.3925787807,2.218113422,2017
Ireland,6.910648805,1.535706639,1.558231115,0.8097826242,0.573110342,0.2983881533,0.4278583229,1.773869038,2017
Germany,6.896618858,1.487923384,1.472520351,0.7989507318,0.5625113845,0.2767319381,0.33626917,2.015769958,2017
Belgium,6.826178838,1.463780761,1.462312698,0.8180918694,0.5397707224,0.2513431311,0.2315033376,2.124210358,2017
Luxembourg,6.802313732,1.741943598,1.457583666,0.8450894952,0.5966278911,0.318834424,0.2831809819,1.619512081,2017
United Kingdom,6.644208689,1.44163394,1.49646008,0.8053359389,0.5081900358,0.2654280663,0.4927741587,1.704143524,2017
Chile,6.564749341,1.25278461,1.284024954,0.8194797039,0.3768952787,0.08228798211,0.3266624212,2.509585857,2017
United Arab Emirates,6.573952223,1.626343369,1.266410232,0.7267982364,0.6083452702,0.3244895637,0.3609419465,1.734703541,2017
Brazil,6.544530956,1.10735321,1.431306005,0.6165523529,0.4374537468,0.1110927612,0.1623498946,2.769267082,2017
Czech Republic,6.534137949,1.352682352,1.433885217,0.7544440031,0.4909461737,0.0368729271,0.08810675889,2.451861858,2017
Argentina,6.507914868,1.185295463,1.440451145,0.6951370835,0.4945192039,0.05973988771,0.1094570607,2.614005327,2017
Mexico,6.48485123,1.153183818,1.21086216,0.7099789977,0.4127300084,0.1327741146,0.1209904328,2.837154865,2017
Singapore,6.507276984,1.69227767,1.353814363,0.9494923949,0.5498405695,0.464307785,0.3459659815,1.216362,2017
Malta,6.455603128,1.343279839,1.488411665,0.8219442368,0.5887670517,0.1530660689,0.5747305751,1.556862831,2017
Uruguay,6.362093775,1.217559695,1.412227869,0.7192168236,0.5793922544,0.1780618727,0.1750969291,2.172409534,2017
Guatemala,6.34112602,0.872001946,1.255585194,0.5402399898,0.5313106179,0.07722327858,0.2834883928,2.893891096,2017
Panama,6.346869566,1.233748436,1.373192549,0.7061561346,0.550026834,0.07098392397,0.2105569392,2.307199955,2017
France,6.368232022,1.430923462,1.387776852,0.8444658518,0.4702221155,0.1725024283,0.1297623068,2.005954742,2017
Thailand,6.338882717,1.127868772,1.425792456,0.6472390294,0.5802007318,0.03161273524,0.5721231103,2.039508343,2017
Taiwan Province of China,6.349403841,1.433626533,1.384565353,0.7939842343,0.3614665866,0.06382923573,0.2583604753,2.126607418,2017
Spain,6.334944911,1.384397864,1.532090902,0.8889605999,0.4087812304,0.07091409713,0.1901335716,1.92775774,2017
Qatar,6.181523186,1.870765686,1.27429688,0.7100980878,0.6041309834,0.4392992556,0.33047387,1.14546442,2017
Colombia,6.261979694,1.070622325,1.402182937,0.5950279236,0.4774874151,0.04666874185,0.149014473,2.616068125,2017
Saudi Arabia,6.243833113,1.530623555,1.286677599,0.5901483297,0.4497505724,0.2734322548,0.1476160139,2.065429688,2017
Trinidad and Tobago,5.954466552,1.361355901,1.380228519,0.5199832916,0.518630743,0.008964816108,0.3252964616,2.053247452,2017
Kuwait,6.018043049,1.632952452,1.259698749,0.6321057081,0.4963375926,0.2151595503,0.2282897979,1.640425205,2017
Slovakia,6.018651687,1.325393558,1.505059242,0.7127329111,0.2958174646,0.02421085164,0.1365444809,2.097776651,2017
Bahrain,5.995010719,1.488412261,1.323110461,0.6531330347,0.5367469192,0.2570421696,0.1726684868,1.656149387,2017
Malaysia,5.988020585,1.29121542,1.284646034,0.6187844276,0.4022649825,0.06560070813,0.4166089296,2.004448891,2017
Nicaragua,5.955416598,0.7372992039,1.28721571,0.6530959606,0.4475518465,0.1306879818,0.301674217,2.513930559,2017
Ecuador,5.910152119,1.000820398,1.286168814,0.6856362224,0.4551981986,0.1401346475,0.150112465,2.290352583,2017
El Salvador,5.897364443,0.9097844958,1.182125092,0.5960185528,0.4324525297,0.08998095989,0.07825798541,2.714593887,2017
Poland,5.892091758,1.291787863,1.44571197,0.699475348,0.5203421116,0.05930780619,0.1584659666,1.797722816,2017
Uzbekistan,5.876462816,0.7864410877,1.54896915,0.4982726276,0.6582486629,0.2465282232,0.4159836471,1.816913605,2017
Italy,5.885263544,1.395066619,1.444923282,0.8531443477,0.2564507127,0.02802809142,0.1727896482,1.813312054,2017
Russia,5.895724734,1.281778097,1.469282389,0.5473493338,0.3737831116,0.03296288103,0.05226382241,2.205607414,2017
Belize,5.714757385,0.907975316,1.081417799,0.450191766,0.5475093722,0.09658107162,0.2400156409,2.631955624,2017
Japan,5.849280708,1.416915178,1.436337829,0.9134758711,0.505625546,0.1637607366,0.1205727682,1.363223553,2017
Lithuania,5.821330259,1.314582348,1.473516107,0.6289499402,0.2342317849,0.01186564285,0.01016465668,2.228440523,2017
Algeria,5.765714001,1.091864467,1.146217465,0.6175846457,0.2333358079,0.1460961103,0.069436647,2.567603827,2017
Latvia,5.779736271,1.260748625,1.404714942,0.6385669708,0.3257079124,0.07384272665,0.1530747861,1.993655205,2017
South Korea,5.753440613,1.401678443,1.128274441,0.900214076,0.2579216659,0.06328266859,0.2066743672,1.880378008,2017
Moldova,5.767628803,0.7288706303,1.251825571,0.5894652009,0.2407290488,0.01009128615,0.2087791264,2.807808399,2017
Romania,5.730305462,1.217683911,1.15009129,0.6851583123,0.4570037425,0.004387900699,0.1335199177,2.176831484,2017
Bolivia,5.742023006,0.833756566,1.227619052,0.4736302495,0.5587329268,0.06047772616,0.2255607247,2.443279028,2017
Turkmenistan,5.758819178,1.130776763,1.493149161,0.4377260804,0.418271929,0.2592703402,0.2499249876,1.832909822,2017
Kazakhstan,5.73435776,1.28455627,1.384369016,0.6060415506,0.4374542832,0.1192828864,0.2019644231,1.784892559,2017
North Cyprus,5.722633421,1.346911311,1.186303377,0.8346472383,0.4712036252,0.1553533524,0.2668457031,1.549157619,2017
Slovenia,5.673774634,1.341205955,1.452518821,0.790828228,0.5725758076,0.04512897879,0.2426490933,1.313317299,2017
Peru,5.618053527,1.035225272,1.218770385,0.6301661134,0.4500028789,0.04704908654,0.1268197149,2.20726943,2017
Mauritius,5.528138182,1.189395547,1.20956099,0.638007462,0.4912473261,0.04218155518,0.3609337509,1.697583914,2017
Cyprus,5.527306927,1.355938077,1.131363273,0.8447147012,0.3551115394,0.0412379764,0.2712543011,1.621249199,2017
Estonia,5.533860248,1.32087934,1.4766711,0.6951683164,0.4791314304,0.1832489222,0.0988908112,1.357508659,2017
Belarus,5.491885291,1.15655756,1.444945216,0.6377142668,0.2954002619,0.1563138217,0.1551375091,1.723232985,2017
Libya,5.373046384,1.101803064,1.35756433,0.5201690197,0.4657332301,0.09261021018,0.1520736665,1.835011244,2017
Turkey,5.405135037,1.198274374,1.337753177,0.6376056075,0.3007405996,0.0996715799,0.04669304192,1.879277945,2017
Paraguay,5.408618791,0.9325373173,1.50728488,0.5792506933,0.4735077918,0.09106591344,0.2241506577,1.68533349,2017
"Hong Kong S.A.R., China",5.394406071,1.551674843,1.262790918,0.9430624247,0.4909686446,0.2939337492,0.3744657934,0.5546331406,2017
Philippines,5.314664602,0.8576992154,1.253917575,0.4680090547,0.5852146745,0.09933189303,0.1935134232,1.972604752,2017
Serbia,5.298430306,1.069317579,1.258189797,0.6507846713,0.2087155282,0.04090378061,0.2201258838,1.947084427,2017
Jordan,5.223589909,0.9910123944,1.239088893,0.6045900583,0.4184211493,0.1198032722,0.1721704602,1.791176558,2017
Hungary,5.244960054,1.286011934,1.343133092,0.6877634525,0.1758635193,0.03663693741,0.07840166241,1.716459274,2017
Jamaica,5.040601012,0.9255793095,1.368218064,0.6410223842,0.4743072391,0.05526778102,0.2338183373,1.612325668,2017
Croatia,5.194223238,1.222556233,0.9679830074,0.7012885213,0.2557722926,0.04310311005,0.2480029762,1.854492426,2017
Kosovo,5.193151615,0.9514843822,1.137853503,0.5414520502,0.2602879405,0.05747161806,0.3199314475,2.010540724,2017
China,5.226721437,1.081165791,1.160837412,0.7414155006,0.472787708,0.02279427461,0.028806841,1.764938593,2017
Pakistan,5.178016465,0.7268835306,0.6726906896,0.4020477831,0.2352152616,0.1243480667,0.3154460192,2.79248929,2017
Indonesia,5.17111157,0.9955385923,1.274444699,0.4923457205,0.4433234632,0.01531713549,0.6117045879,1.429476976,2017
Venezuela,5.129968054,1.128431201,1.431337595,0.617144227,0.1539971232,0.06449112296,0.0650196299,1.789463758,2017
Montenegro,5.132955537,1.121129036,1.238376498,0.6674646735,0.1949890554,0.0881741941,0.1979110241,1.729191542,2017
Morocco,5.151659302,0.8781145811,0.7748644352,0.597710669,0.4081583321,0.08776318282,0.03220995516,2.456189394,2017
Azerbaijan,5.168713877,1.153601766,1.152400255,0.5407757759,0.3981558383,0.1809875071,0.04526934028,1.762481689,2017
Dominican Republic,5.110939153,1.079373837,1.402416706,0.5748737454,0.5525898337,0.1139452532,0.1869678497,1.31946516,2017
Greece,5.128754304,1.289487481,1.239414573,0.8101989031,0.09573125094,0.04328977689,0,1.749221563,2017
Lebanon,5.131117521,1.074987531,1.129624248,0.7350810766,0.288515985,0.03751382977,0.2644507587,1.695073843,2017
Portugal,5.10495861,1.315175295,1.367043018,0.7958435416,0.4984652996,0.01586945169,0.09510271251,1.107682705,2017
Bosnia and Herzegovina,5.087664634,0.9824094176,1.069335938,0.7051863074,0.2044031769,0,0.3288674951,1.892172575,2017
Honduras,5.060417669,0.7305731177,1.143944979,0.5825694799,0.3480798602,0.07334545255,0.2361888736,2.065811157,2017
Macedonia,5.077827742,1.064577937,1.207893014,0.6449481845,0.3259059787,0.06027779356,0.2537609637,1.617469311,2017
Somalia,5.059516336,0.02264318429,0.7211513519,0.1139891371,0.602126956,0.2824103236,0.2916313112,3.11748457,2017
Vietnam,5.000718999,0.7885475755,1.277491331,0.6521689892,0.5710555911,0.08763323724,0.2349680513,1.462318659,2017
Nigeria,4.938499628,0.7837562561,1.215770483,0.05691573024,0.3949525654,0.02612156607,0.2309471965,2.365390539,2017
Tajikistan,4.970574183,0.5247136354,1.271463275,0.5292351246,0.4715667069,0.1463771462,0.2489976436,1.84904933,2017
Bhutan,4.942665751,0.8854163885,1.340126514,0.4958792925,0.5015376806,0.1733803898,0.4740545452,1.140184402,2017
Kyrgyzstan,4.918080471,0.5962200761,1.394238591,0.5534577966,0.4549433887,0.039439179,0.4285803735,1.536723137,2017
Nepal,4.856643707,0.4798201919,1.179283261,0.5041307807,0.4403059483,0.07297554612,0.3940961659,1.891241074,2017
Mongolia,4.888320338,1.027235866,1.493011236,0.5577834845,0.3941439688,0.03290228918,0.3384642303,1.111292362,2017
South Africa,4.728564805,1.054698706,1.384788632,0.1870800704,0.4792467356,0.0725094974,0.1393623799,1.510908604,2017
Tunisia,4.72563265,1.007265806,0.8683514595,0.613212049,0.2896806896,0.08672314882,0.0496933572,1.89025116,2017
