Country,Region,Happiness Rank,Happiness Score,Happiness High Tolerance,,,,,,,,,
Serbia,Central and Eastern Europe,87,5.123,5.07436,,,,,,,,,
Portugal,Western Europe,88,5.102,5.05398,,,,,,,,,
Latvia,Central and Eastern Europe,89,5.098,5.0516,,,,,,,,,
Philippines,Southeastern Asia,90,5.073,5.02366,,,,,,,,,
Somaliland region,Sub-Saharan Africa,91,5.057,4.99539,,,,,,,,,
Morocco,Middle East and Northern Africa,92,5.013,4.9788,,,,,,,,,
Macedonia,Central and Eastern Europe,93,5.007,4.95324,,,,,,,,,
Mozambique,Sub-Saharan Africa,94,4.971,4.89204,,,,,,,,,
Albania,Central and Eastern Europe,95,4.959,4.90887,,,,,,,,,
Bosnia and Herzegovina,Central and Eastern Europe,96,4.949,4.87987,,,,,,,,,
Lesotho,Sub-Saharan Africa,97,4.898,4.80362,,,,,,,,,
Dominican Republic,Latin America and Caribbean,98,4.885,4.81054,,,,,,,,,
Laos,Southeastern Asia,99,4.876,4.80902,,,,,,,,,
Mongolia,Eastern Asia,100,4.874,4.84087,,,,,,,,,
Swaziland,Sub-Saharan Africa,101,4.867,4.77958,,,,,,,,,
Greece,Western Europe,102,4.857,4.80638,,,,,,,,,
Lebanon,Middle East and Northern Africa,103,4.839,4.79563,,,,,,,,,
Hungary,Central and Eastern Europe,104,4.8,4.73893,,,,,,,,,
Honduras,Latin America and Caribbean,105,4.788,4.73152,,,,,,,,,
Tajikistan,Central and Eastern Europe,106,4.786,4.75402,,,,,,,,,
Tunisia,Middle East and Northern Africa,107,4.739,4.70311,,,,,,,,,
Palestinian Territories,Middle East and Northern Africa,108,4.715,4.67106,,,,,,,,,
Bangladesh,Southern Asia,109,4.694,4.66323,,,,,,,,,
Iran,Middle East and Northern Africa,110,4.686,4.64151,,,,,,,,,
Ukraine,Central and Eastern Europe,111,4.681,4.63688,,,,,,,,,
Iraq,Middle East and Northern Africa,112,4.677,4.62468,,,,,,,,,
South Africa,Sub-Saharan Africa,113,4.642,4.59615,,,,,,,,,
Ghana,Sub-Saharan Africa,114,4.633,4.58558,,,,,,,,,
Zimbabwe,Sub-Saharan Africa,115,4.61,4.5671,,,,,,,,,
Liberia,Sub-Saharan Africa,116,4.571,4.46032,,,,,,,,,
India,Southern Asia,117,4.565,4.54457,,,,,,,,,
Sudan,Sub-Saharan Africa,118,4.55,4.4826,,,,,,,,,
Haiti,Latin America and Caribbean,119,4.518,4.44469,,,,,,,,,
Congo (Kinshasa),Sub-Saharan Africa,120,4.517,4.4802,,,,,,,,,
Nepal,Southern Asia,121,4.514,4.47793,,,,,,,,,
Ethiopia,Sub-Saharan Africa,122,4.512,4.4742,,,,,,,,,
Sierra Leone,Sub-Saharan Africa,123,4.507,4.43632,,,,,,,,,
Mauritania,Sub-Saharan Africa,124,4.436,4.39653,,,,,,,,,
Kenya,Sub-Saharan Africa,125,4.419,4.37166,,,,,,,,,
Djibouti,Sub-Saharan Africa,126,4.369,4.28804,,,,,,,,,
Armenia,Central and Eastern Europe,127,4.35,4.30237,,,,,,,,,
Botswana,Sub-Saharan Africa,128,4.332,4.28266,,,,,,,,,
Myanmar,Southeastern Asia,129,4.307,4.26349,,,,,,,,,
Georgia,Central and Eastern Europe,130,4.297,4.25479,,,,,,,,,
Malawi,Sub-Saharan Africa,131,4.292,4.2307,,,,,,,,,
Sri Lanka,Southern Asia,132,4.271,4.23349,,,,,,,,,
Cameroon,Sub-Saharan Africa,133,4.252,4.20522,,,,,,,,,
Bulgaria,Central and Eastern Europe,134,4.218,4.16972,,,,,,,,,
Egypt,Middle East and Northern Africa,135,4.194,4.1614,,,,,,,,,
Yemen,Middle East and Northern Africa,136,4.077,4.03333,,,,,,,,,
Angola,Sub-Saharan Africa,137,4.033,3.98542,,,,,,,,,
Mali,Sub-Saharan Africa,138,3.995,3.93898,,,,,,,,,
Congo (Brazzaville),Sub-Saharan Africa,139,3.989,3.92218,,,,,,,,,
Comoros,Sub-Saharan Africa,140,3.956,3.90803,,,,,,,,,
Uganda,Sub-Saharan Africa,141,3.931,3.88783,,,,,,,,,
Senegal,Sub-Saharan Africa,142,3.904,3.86792,,,,,,,,,
Gabon,Sub-Saharan Africa,143,3.896,3.85053,,,,,,,,,
Niger,Sub-Saharan Africa,144,3.845,3.80898,,,,,,,,,
Cambodia,Southeastern Asia,145,3.819,3.76831,,,,,,,,,
Tanzania,Sub-Saharan Africa,146,3.781,3.73039,,,,,,,,,
Madagascar,Sub-Saharan Africa,147,3.681,3.64467,,,,,,,,,
Central African Republic,Sub-Saharan Africa,148,3.678,3.61688,,,,,,,,,
Chad,Sub-Saharan Africa,149,3.667,3.6287,,,,,,,,,
Guinea,Sub-Saharan Africa,150,3.656,3.6201,,,,,,,,,
Ivory Coast,Sub-Saharan Africa,151,3.655,3.60359,,,,,,,,,
Burkina Faso,Sub-Saharan Africa,152,3.587,3.54376,,,,,,,,,
Afghanistan,Southern Asia,153,3.575,3.54416,,,,,,,,,
Rwanda,Sub-Saharan Africa,154,3.465,3.43036,,,,,,,,,
Benin,Sub-Saharan Africa,155,3.34,3.30344,,,,,,,,,
Syria,Middle East and Northern Africa,156,3.006,2.95585,,,,,,,,,
Burundi,Sub-Saharan Africa,157,2.905,2.81842,,,,,,,,,
Togo,Sub-Saharan Africa,158,2.839,2.77173,,,,,,,,,
Norway,,1,7.537000179,7.594444821,,,,,,,,,
Denmark,,2,7.521999836,7.581728065,,,,,,,,,
Iceland,,3,7.504000187,7.622030473,,,,,,,,,
Switzerland,,4,7.493999958,7.56177242,,,,,,,,,
Finland,,5,7.468999863,7.527542076,,,,,,,,,
Netherlands,,6,7.376999855,7.427425841,,,,,,,,,
Canada,,7,7.315999985,7.384402835,,,,,,,,,
New Zealand,,8,7.31400013,7.379510442,,,,,,,,,
Sweden,,9,7.28399992,7.344094877,,,,,,,,,
Australia,,10,7.28399992,7.356651225,,,,,,,,,
Israel,,11,7.212999821,7.279853256,,,,,,,,,
Costa Rica,,12,7.078999996,7.168111666,,,,,,,,,
Austria,,13,7.006000042,7.070669812,,,,,,,,,
United States,,14,6.993000031,7.074656748,,,,,,,,,
Ireland,,15,6.977000237,7.043351668,,,,,,,,,
Germany,,16,6.951000214,7.005381569,,,,,,,,,
Belgium,,17,6.890999794,6.95582075,,,,,,,,,
Luxembourg,,18,6.862999916,6.9236861,,,,,,,,,
United Kingdom,,19,6.714000225,6.783791761,,,,,,,,,
Chile,,20,6.65199995,6.73925056,,,,,,,,,
United Arab Emirates,,21,6.647999763,6.722047304,,,,,,,,,
Brazil,,22,6.635000229,6.725469502,,,,,,,,,
Czech Republic,,23,6.609000206,6.683862463,,,,,,,,,
Argentina,,24,6.598999977,6.690085086,,,,,,,,,
Mexico,,25,6.578000069,6.671148908,,,,,,,,,
Singapore,,26,6.572000027,6.636723069,,,,,,,,,
Malta,,27,6.52699995,6.598396773,,,,,,,,,
Uruguay,,28,6.453999996,6.545906218,,,,,,,,,
Guatemala,,29,6.453999996,6.566873973,,,,,,,,,
Panama,,30,6.452000141,6.557130716,,,,,,,,,
France,,31,6.441999912,6.515767802,,,,,,,,,
Thailand,,32,6.423999786,6.509116856,,,,,,,,,
Taiwan Province of China,,33,6.421999931,6.494596022,,,,,,,,,
Spain,,34,6.402999878,6.471054845,,,,,,,,,
Qatar,,35,6.375,6.568476814,,,,,,,,,
Colombia,,36,6.356999874,6.452020054,,,,,,,,,
Saudi Arabia,,37,6.343999863,6.444166612,,,,,,,,,
Trinidad and Tobago,,38,6.168000221,6.381533891,,,,,,,,,
Kuwait,,39,6.105000019,6.191956989,,,,,,,,,
Slovakia,,40,6.09800005,6.177348412,,,,,,,,,
Bahrain,,41,6.086999893,6.178989068,,,,,,,,,
Malaysia,,42,6.084000111,6.179979637,,,,,,,,,
Nicaragua,,43,6.071000099,6.1865836,,,,,,,,,
Ecuador,,44,6.007999897,6.105847675,,,,,,,,,
El Salvador,,45,6.002999783,6.108635122,,,,,,,,,
Poland,,46,5.97300005,6.053908341,,,,,,,,,
Uzbekistan,,47,5.971000195,6.065537573,,,,,,,,,
Italy,,48,5.964000225,6.042736906,,,,,,,,,
Russia,,49,5.962999821,6.030274907,,,,,,,,,
Belize,,50,5.955999851,6.197242318,,,,,,,,,
Japan,,51,5.920000076,5.990719445,,,,,,,,,
Lithuania,,52,5.90199995,5.982669641,,,,,,,,,
Algeria,,53,5.872000217,5.978286434,,,,,,,,,
Latvia,,54,5.849999905,5.920263538,,,,,,,,,
South Korea,,55,5.837999821,5.922559028,,,,,,,,,
Moldova,,56,5.837999821,5.908370838,,,,,,,,,
Romania,,57,5.824999809,5.919694157,,,,,,,,,
Bolivia,,58,5.822999954,5.903976903,,,,,,,,,
Turkmenistan,,59,5.822000027,5.885180876,,,,,,,,,
Kazakhstan,,60,5.818999767,5.903641775,,,,,,,,,
North Cyprus,,61,5.809999943,5.897366465,,,,,,,,,
Slovenia,,62,5.757999897,5.84222516,,,,,,,,,
Peru,,63,5.715000153,5.811946779,,,,,,,,,
Mauritius,,64,5.629000187,5.729862192,,,,,,,,,
Cyprus,,65,5.620999813,5.714692699,,,,,,,,,
Estonia,,66,5.611000061,5.688139874,,,,,,,,,
Belarus,,67,5.568999767,5.646114244,,,,,,,,,
Libya,,68,5.525000095,5.676953807,,,,,,,,,
Turkey,,69,5.5,5.594864963,,,,,,,,,
Paraguay,,70,5.493000031,5.57738127,,,,,,,,,
"Hong Kong S.A.R., China",,71,5.472000122,5.549594173,,,,,,,,,
Philippines,,72,5.429999828,5.545335054,,,,,,,,,
Serbia,,73,5.394999981,5.491569656,,,,,,,,,
Jordan,,74,5.335999966,5.448410022,,,,,,,,,
Hungary,,75,5.323999882,5.403039709,,,,,,,,,
Jamaica,,76,5.31099987,5.581398728,,,,,,,,,
Croatia,,77,5.293000221,5.391777205,,,,,,,,,
Kosovo,,78,5.278999805,5.364847995,,,,,,,,,
China,,79,5.272999763,5.31927809,,,,,,,,,
Pakistan,,80,5.269000053,5.359983641,,,,,,,,,
Indonesia,,81,5.262000084,5.352888598,,,,,,,,,
Venezuela,,82,5.25,5.370031946,,,,,,,,,
Montenegro,,83,5.236999989,5.341044441,,,,,,,,,
Morocco,,84,5.235000134,5.318340965,,,,,,,,,
Azerbaijan,,85,5.234000206,5.299286535,,,,,,,,,
Dominican Republic,,86,5.230000019,5.349060885,,,,,,,,,
Greece,,87,5.227000237,5.325246169,,,,,,,,,
Lebanon,,88,5.224999905,5.318882288,,,,,,,,,
Portugal,,89,5.195000172,5.285041733,,,,,,,,,
Bosnia and Herzegovina,,90,5.18200016,5.276335687,,,,,,,,,
Honduras,,91,5.181000233,5.301582797,,,,,,,,,
Macedonia,,92,5.175000191,5.27217264,,,,,,,,,
Somalia,,93,5.151000023,5.24248371,,,,,,,,,
Vietnam,,94,5.073999882,5.147280765,,,,,,,,,
Nigeria,,95,5.073999882,5.209500135,,,,,,,,,
Tajikistan,,96,5.040999889,5.111425596,,,,,,,,,
Bhutan,,97,5.011000156,5.079334562,,,,,,,,,
Kyrgyzstan,,98,5.004000187,5.089919903,,,,,,,,,
Nepal,,99,4.961999893,5.067356079,,,,,,,,,
Mongolia,,100,4.954999924,5.021679509,,,,,,,,,
South Africa,,101,4.828999996,4.929435188,,,,,,,,,
Tunisia,,102,4.804999828,4.884367007,,,,,,,,,
Palestinian Territories,,103,4.775000095,4.881848343,,,,,,,,,
Egypt,,104,4.735000134,4.82513379,,,,,,,,,
Bulgaria,,105,4.714000225,4.803694706,,,,,,,,,
Sierra Leone,,106,4.709000111,4.850643335,,,,,,,,,
Cameroon,,107,4.695000172,4.796540857,,,,,,,,,
Iran,,108,4.691999912,4.798224708,,,,,,,,,
Albania,,109,4.644000053,4.752464006,,,,,,,,,
Bangladesh,,110,4.607999802,4.689821658,,,,,,,,,
Namibia,,111,4.573999882,4.770354741,,,,,,,,,
Kenya,,112,4.552999973,4.655691591,,,,,,,,,
Mozambique,,113,4.550000191,4.774102326,,,,,,,,,
Myanmar,,114,4.545000076,4.614739946,,,,,,,,,
Senegal,,115,4.534999847,4.601603781,,,,,,,,,
Zambia,,116,4.513999939,4.644105501,,,,,,,,,
Iraq,,117,4.497000217,4.62259141,,,,,,,,,
Gabon,,118,4.465000153,4.557361766,,,,,,,,,
Ethiopia,,119,4.460000038,4.542728677,,,,,,,,,
Sri Lanka,,120,4.440000057,4.553447192,,,,,,,,,
Armenia,,121,4.375999928,4.466734612,,,,,,,,,
India,,122,4.315000057,4.371522017,,,,,,,,,
Mauritania,,123,4.291999817,4.377163616,,,,,,,,,
Congo (Brazzaville),,124,4.290999889,4.410053505,,,,,,,,,
Georgia,,125,4.285999775,4.374933966,,,,,,,,,
Congo (Kinshasa),,126,4.28000021,4.357810833,,,,,,,,,
Mali,,127,4.190000057,4.269670711,,,,,,,,,
Ivory Coast,,128,4.179999828,4.275182563,,,,,,,,,
Cambodia,,129,4.168000221,4.278517814,,,,,,,,,
Sudan,,130,4.138999939,4.345747165,,,,,,,,,
Ghana,,131,4.119999886,4.222707209,,,,,,,,,
Ukraine,,132,4.096000195,4.185410105,,,,,,,,,
Uganda,,133,4.080999851,4.195799967,,,,,,,,,
Burkina Faso,,134,4.032000065,4.124059064,,,,,,,,,
Niger,,135,4.027999878,4.11194682,,,,,,,,,
Malawi,,136,3.970000029,4.077478817,,,,,,,,,
Chad,,137,3.936000109,4.034711524,,,,,,,,,
Zimbabwe,,138,3.875,3.978699643,,,,,,,,,
Lesotho,,139,3.808000088,4.044343975,,,,,,,,,
Angola,,140,3.795000076,3.951641935,,,,,,,,,
Afghanistan,,141,3.79399991,3.873661415,,,,,,,,,
Botswana,,142,3.766000032,3.874122666,,,,,,,,,
Benin,,143,3.657000065,3.745783551,,,,,,,,,
Madagascar,,144,3.644000053,3.714319106,,,,,,,,,
Haiti,,145,3.602999926,3.734714798,,,,,,,,,
Yemen,,146,3.592999935,3.69275032,,,,,,,,,
South Sudan,,147,3.59100008,3.725538586,,,,,,,,,
Liberia,,148,3.532999992,3.653756261,,,,,,,,,
Guinea,,149,3.506999969,3.584428129,,,,,,,,,
Togo,,150,3.494999886,3.594038112,,,,,,,,,
Rwanda,,151,3.470999956,3.543030234,,,,,,,,,
Syria,,152,3.461999893,3.663668557,,,,,,,,,
Tanzania,,153,3.348999977,3.461429755,,,,,,,,,
Burundi,,154,2.904999971,3.074690333,,,,,,,,,
Central African Republic,,155,2.693000078,2.864884269,,,,,,,,,
Denmark,Western Europe,1,7.526,7.46,,,,,,,,,
Switzerland,Western Europe,2,7.509,7.428,,,,,,,,,
Iceland,Western Europe,3,7.501,7.333,,,,,,,,,
Norway,Western Europe,4,7.498,7.421,,,,,,,,,
Finland,Western Europe,5,7.413,7.351,,,,,,,,,
Canada,North America,6,7.404,7.335,,,,,,,,,
Netherlands,Western Europe,7,7.339,7.284,,,,,,,,,
New Zealand,Australia and New Zealand,8,7.334,7.264,,,,,,,,,
Australia,Australia and New Zealand,9,7.313,7.241,,,,,,,,,
Sweden,Western Europe,10,7.291,7.227,,,,,,,,,
Israel,Middle East and Northern Africa,11,7.267,7.199,,,,,,,,,
Austria,Western Europe,12,7.119,7.045,,,,,,,,,
United States,North America,13,7.104,7.02,,,,,,,,,
Costa Rica,Latin America and Caribbean,14,7.087,6.999,,,,,,,,,
Puerto Rico,Latin America and Caribbean,15,7.039,6.794,,,,,,,,,
Germany,Western Europe,16,6.994,6.93,,,,,,,,,
Brazil,Latin America and Caribbean,17,6.952,6.875,,,,,,,,,
Belgium,Western Europe,18,6.929,6.861,,,,,,,,,
Ireland,Western Europe,19,6.907,6.836,,,,,,,,,
Luxembourg,Western Europe,20,6.871,6.804,,,,,,,,,
Mexico,Latin America and Caribbean,21,6.778,6.68,,,,,,,,,
Singapore,Southeastern Asia,22,6.739,6.674,,,,,,,,,
United Kingdom,Western Europe,23,6.725,6.647,,,,,,,,,
Chile,Latin America and Caribbean,24,6.705,6.615,,,,,,,,,
Panama,Latin America and Caribbean,25,6.701,6.601,,,,,,,,,
Argentina,Latin America and Caribbean,26,6.65,6.56,,,,,,,,,
Czech Republic,Central and Eastern Europe,27,6.596,6.515,,,,,,,,,
United Arab Emirates,Middle East and Northern Africa,28,6.573,6.494,,,,,,,,,
Uruguay,Latin America and Caribbean,29,6.545,6.456,,,,,,,,,
Malta,Western Europe,30,6.488,6.409,,,,,,,,,
Colombia,Latin America and Caribbean,31,6.481,6.384,,,,,,,,,
France,Western Europe,32,6.478,6.397,,,,,,,,,
Thailand,Southeastern Asia,33,6.474,6.396,,,,,,,,,
Saudi Arabia,Middle East and Northern Africa,34,6.379,6.287,,,,,,,,,
Taiwan,Eastern Asia,34,6.379,6.305,,,,,,,,,
Qatar,Middle East and Northern Africa,36,6.375,6.178,,,,,,,,,
Spain,Western Europe,37,6.361,6.288,,,,,,,,,
Algeria,Middle East and Northern Africa,38,6.355,6.227,,,,,,,,,
Guatemala,Latin America and Caribbean,39,6.324,6.213,,,,,,,,,
Suriname,Latin America and Caribbean,40,6.269,6.073,,,,,,,,,
Kuwait,Middle East and Northern Africa,41,6.239,6.154,,,,,,,,,
Bahrain,Middle East and Northern Africa,42,6.218,6.128,,,,,,,,,
Trinidad and Tobago,Latin America and Caribbean,43,6.168,5.95,,,,,,,,,
Venezuela,Latin America and Caribbean,44,6.084,5.973,,,,,,,,,
Slovakia,Central and Eastern Europe,45,6.078,5.996,,,,,,,,,
El Salvador,Latin America and Caribbean,46,6.068,5.967,,,,,,,,,
Malaysia,Southeastern Asia,47,6.005,5.921,,,,,,,,,
Nicaragua,Latin America and Caribbean,48,5.992,5.877,,,,,,,,,
Uzbekistan,Central and Eastern Europe,49,5.987,5.896,,,,,,,,,
Italy,Western Europe,50,5.977,5.898,,,,,,,,,
Ecuador,Latin America and Caribbean,51,5.976,5.88,,,,,,,,,
Belize,Latin America and Caribbean,52,5.956,5.71,,,,,,,,,
Japan,Eastern Asia,53,5.921,5.85,,,,,,,,,
Kazakhstan,Central and Eastern Europe,54,5.919,5.837,,,,,,,,,
Moldova,Central and Eastern Europe,55,5.897,5.823,,,,,,,,,
Russia,Central and Eastern Europe,56,5.856,5.789,,,,,,,,,
Poland,Central and Eastern Europe,57,5.835,5.749,,,,,,,,,
South Korea,Eastern Asia,57,5.835,5.747,,,,,,,,,
Bolivia,Latin America and Caribbean,59,5.822,5.74,,,,,,,,,
Lithuania,Central and Eastern Europe,60,5.813,5.734,,,,,,,,,
Belarus,Central and Eastern Europe,61,5.802,5.723,,,,,,,,,
North Cyprus,Western Europe,62,5.771,5.67,,,,,,,,,
Slovenia,Central and Eastern Europe,63,5.768,5.683,,,,,,,,,
Peru,Latin America and Caribbean,64,5.743,5.647,,,,,,,,,
Turkmenistan,Central and Eastern Europe,65,5.658,5.58,,,,,,,,,
Mauritius,Sub-Saharan Africa,66,5.648,5.507,,,,,,,,,
Libya,Middle East and Northern Africa,67,5.615,5.406,,,,,,,,,
Latvia,Central and Eastern Europe,68,5.56,5.486,,,,,,,,,
Cyprus,Western Europe,69,5.546,5.442,,,,,,,,,
Paraguay,Latin America and Caribbean,70,5.538,5.453,,,,,,,,,
Romania,Central and Eastern Europe,71,5.528,5.427,,,,,,,,,
Estonia,Central and Eastern Europe,72,5.517,5.437,,,,,,,,,
Jamaica,Latin America and Caribbean,73,5.51,5.315,,,,,,,,,
Croatia,Central and Eastern Europe,74,5.488,5.402,,,,,,,,,
Hong Kong,Eastern Asia,75,5.458,5.362,,,,,,,,,
Somalia,Sub-Saharan Africa,76,5.44,5.321,,,,,,,,,
Kosovo,Central and Eastern Europe,77,5.401,5.308,,,,,,,,,
Turkey,Middle East and Northern Africa,78,5.389,5.295,,,,,,,,,
Indonesia,Southeastern Asia,79,5.314,5.237,,,,,,,,,
Jordan,Middle East and Northern Africa,80,5.303,5.187,,,,,,,,,
Azerbaijan,Central and Eastern Europe,81,5.291,5.226,,,,,,,,,
Philippines,Southeastern Asia,82,5.279,5.16,,,,,,,,,
China,Eastern Asia,83,5.245,5.199,,,,,,,,,
Bhutan,Southern Asia,84,5.196,5.138,,,,,,,,,
Kyrgyzstan,Central and Eastern Europe,85,5.185,5.103,,,,,,,,,
Serbia,Central and Eastern Europe,86,5.177,5.083,,,,,,,,,
Bosnia and Herzegovina,Central and Eastern Europe,87,5.163,5.063,,,,,,,,,
Montenegro,Central and Eastern Europe,88,5.161,5.055,,,,,,,,,
Dominican Republic,Latin America and Caribbean,89,5.155,5.037,,,,,,,,,
Morocco,Middle East and Northern Africa,90,5.151,5.058,,,,,,,,,
Hungary,Central and Eastern Europe,91,5.145,5.056,,,,,,,,,
Pakistan,Southern Asia,92,5.132,5.038,,,,,,,,,
Lebanon,Middle East and Northern Africa,93,5.129,5.031,,,,,,,,,
Portugal,Western Europe,94,5.123,5.03,,,,,,,,,
Macedonia,Central and Eastern Europe,95,5.121,5.017,,,,,,,,,
Vietnam,Southeastern Asia,96,5.061,4.991,,,,,,,,,
Somaliland Region,Sub-Saharan Africa,97,5.057,4.934,,,,,,,,,
Tunisia,Middle East and Northern Africa,98,5.045,4.965,,,,,,,,,
Greece,Western Europe,99,5.033,4.935,,,,,,,,,
Tajikistan,Central and Eastern Europe,100,4.996,4.923,,,,,,,,,
Mongolia,Eastern Asia,101,4.907,4.838,,,,,,,,,
Laos,Southeastern Asia,102,4.876,4.742,,,,,,,,,
Nigeria,Sub-Saharan Africa,103,4.875,4.75,,,,,,,,,
Honduras,Latin America and Caribbean,104,4.871,4.75,,,,,,,,,
Iran,Middle East and Northern Africa,105,4.813,4.703,,,,,,,,,
Zambia,Sub-Saharan Africa,106,4.795,4.645,,,,,,,,,
